id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
5746,5243,Urbana,En Operación,Templo,No Aplica,San Francisco de Asís
5747,5858,Urbana,No Aplica,Plaza,No Aplica,Santos Degollado
5748,5859,Urbana,En Operación,Templo,No Aplica,Basílica de San José y Nuestra Señora del Sagrado Corazón
5749,3364,Urbana,En Operación,Templo,No Aplica,Iglesia Metodista de México El Mesías
5750,5846,Urbana,En Operación,Centro de Asistencia Médica,Hospital,Nuestra Señora de la Luz
5751,5847,Urbana,En Operación,Centro de Asistencia Médica,Hospital,Torre Médica
5752,505,Urbana,En Operación,Escuela,Secundaria,Francisco I. Madero
5753,508,Urbana,En Operación,Templo,No Aplica,Santos Cosme y Damián
5754,509,Urbana,En Operación,Escuela,Primaria,Margarita Maza de Juárez
5755,5842,Urbana,En Operación,Escuela,Superior,Escuela del Valle de México Campus San Rafael
5756,510,Urbana,En Operación,Escuela,Primaria,Florencio M. Del Castillo
5757,506,Urbana,No Aplica,Mercado,No Aplica,San Cosme
5758,507,Urbana,En Operación,Templo,No Aplica,San Rafael Arcángel y San Benito Abad
5759,5883,Urbana,En Operación,Escuela,Primaria,Padre Mier
5760,523,Urbana,En Operación,Templo,No Aplica,Parroquia Nuestra Señora de Guadalupe
5761,498,Urbana,No Aplica,Mercado,No Aplica,Plaza Ex Comedor DIF
5762,499,Urbana,No Aplica,Mercado,No Aplica,Presidente Abelardo L. Rodríguez
5763,3346,Urbana,En Operación,Templo,No Aplica,Nuestra Señora de Loreto
5764,3347,Urbana,En Operación,Templo,No Aplica,Iglesia Nacional Presbiteriana Bethel
5765,3348,Urbana,En Operación,Escuela,Preescolar,Tonatiuh
5766,3349,Urbana,No Aplica,Mercado,No Aplica,Merced Mixcalco
5767,3350,Urbana,En Operación,Templo,No Aplica,Santa Teresa La Nueva
5768,7484,Urbana,En Operación,Templo,No Aplica,Ninguno
5769,7485,Urbana,En Operación,Escuela,Secundaria,Carlota Jasso
5770,7486,Urbana,En Operación,Centro de Asistencia Médica,Hospital,General Doctor Gregorio Salas Flores SSA
5771,7487,Urbana,En Operación,Escuela,Primaria,Colegio María Ernestina Larrainzar
5772,500,Urbana,En Operación,Escuela,Primaria,Sara Manzano
5773,501,Urbana,En Operación,Templo,No Aplica,Parroquia San Sebastian Mártir
5774,502,Urbana,En Operación,Escuela,Secundaria,Secundaria para Trabajadores Ernest Rutherford
5775,7488,Urbana,En Operación,Templo,No Aplica,Nuestra Señora del Carmen
5776,3341,Urbana,En Operación,Escuela,Secundaria,Venustiano Carranza
5777,3342,Urbana,En Operación,Templo,No Aplica,Iglesia Metodista de México El Divino Redentor
5778,7489,Urbana,En Operación,Escuela,Primaria,Abraham Castellanos
5779,2277,Urbana,En Operación,Templo,No Aplica,Inmaculada Concepción
5780,2278,Urbana,En Operación,Templo,No Aplica,Parroquia de San Lorenzo
5781,2279,Urbana,En Operación,Escuela,Primaria,Luis Murillo
5782,7490,Urbana,En Operación,Templo,No Aplica,Ex Templo de la Encarnación
5783,7491,Urbana,En Operación,Instalación Diversa,Museo,Antigua Escuela de Medicina UNAM
5784,7492,Urbana,En Operación,Templo,No Aplica,Parroquia Santa Catarina Virgen y Mártir
5785,7493,Urbana,En Operación,Templo,No Aplica,Capilla de la Expiación
5786,7494,Urbana,En Operación,Templo,No Aplica,Santo Domingo de Guzmán
5787,7495,Urbana,En Operación,Escuela,Primaria,Pablo Moreno
5788,7496,Urbana,En Operación,Escuela,Primaria,República de Argentina
5789,5864,Urbana,En Operación,Templo,No Aplica,San Juan de Dios
5790,5865,Urbana,En Operación,Templo,No Aplica,Santa Veracruz
5791,3367,Urbana,En Operación,Templo,No Aplica,Parroquia de Santa María La Redonda
5792,5866,Urbana,No Aplica,Mercado,No Aplica,2 de Abril
5793,5867,Urbana,En Operación,Escuela,Secundaria,Técnica 2 Corregidora de Querétaro
5794,5868,Urbana,En Operación,Escuela,Medio Superior,CETIS 9 Josefa Ortiz de Domínguez
5795,5829,Urbana,En Operación,Templo,No Aplica,San Hipólito y San Casinano
5796,5830,Urbana,No Aplica,Cementerio,No Aplica,Panteón San Fernando
5797,5831,Urbana,En Operación,Templo,No Aplica,Parroquia San Fernando
5798,5832,Urbana,En Operación,Escuela,Primaria,Doctor Belisario Domínguez
5799,494,Urbana,En Operación,Escuela,Primaria,Fray Luis de León
5800,3310,Urbana,En Operación,Escuela,Preescolar,Ferderico Froebel
5801,3311,Urbana,En Operación,Templo,No Aplica,María Reparadora
5802,3312,Urbana,En Operación,Templo,No Aplica,Sagrada Familia
5803,5807,Urbana,En Operación,Escuela,Secundaria,Moisés Sáenz
5804,5808,Urbana,En Operación,Escuela,Secundaria,Moisés Sáenz
5805,3318,Urbana,En Operación,Escuela,Preescolar,MA.RI.PY.
5806,3319,Urbana,En Operación,Escuela,Superior,Universidad del Distrito Federal Campus Santa María
5807,3320,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Jurisdicción Sanitaria Azcapotzalco
5808,5809,Urbana,En Operación,Escuela,Secundaria,Ana María Berlanga
5809,5810,Urbana,En Operación,Escuela,Superior,Centro de Actualización del Magisterio en el Distrito Federal
